id,Name,Country,Fueltype,Capacity,CapacityFactor,EmissionFactor_kg_per_kWh,EstimatedAnnualCO2_tonnes
0,Pumpspeicherkraftwerk Erzhausen,Germany,Hydro,200.0,0.4,0,0.0
1,La Plate Taille,Belgium,Hydro,144.0,0.4,0,0.0
2,Illwerke Vkw Rodundwerk,Austria,Hydro,495.0,0.4,0,0.0
3,Bissorte,France,Hydro,818.0,0.4,0,0.0
4,Obervermuntwerk Maschine Turbine,Austria,Hydro,380.0,0.4,0,0.0
5,Grand Maison,France,Hydro,1713.0,0.4,0,0.0
6,Coche,France,Hydro,384.0,0.4,0,0.0
7,Cheylas,France,Hydro,485.0,0.4,0,0.0
8,Pouget,France,Hydro,447.0,0.4,0,0.0
9,Montezic,France,Hydro,910.0,0.4,0,0.0
10,Psw Goldisthal Pss,Germany,Hydro,1052.0,0.4,0,0.0
11,Sainte Croix,France,Hydro,132.0,0.4,0,0.0
12,Vouglans,France,Hydro,285.0,0.4,0,0.0
13,Anapo,Italy,Hydro,500.0,0.4,0,0.0
14,Edolo,Italy,Hydro,950.0,0.4,0,0.0
15,Presenzano,Italy,Hydro,985.0,0.4,0,0.0
16,Roncovalgrande,Italy,Hydro,1000.0,0.4,0,0.0
17,San Fiorano,Italy,Hydro,268.0,0.4,0,0.0
18,Dychow,Poland,Hydro,88.0,0.4,0,0.0
19,Porabka Zar,Poland,Hydro,552.0,0.4,0,0.0
20,Limmern,Switzerland,Hydro,1352.0,0.4,0,0.0
21,Revin,France,Hydro,808.0,0.4,0,0.0
22,Illwerke Vkw Kopswerk,Austria,Hydro,525.0,0.4,0,0.0
23,Foyers,United Kingdom,Hydro,320.0,0.4,0,0.0
24,Ffestiniog,United Kingdom,Hydro,384.0,0.4,0,0.0
25,Dinorwig,United Kingdom,Hydro,2016.0,0.4,0,0.0
26,Coo,Belgium,Hydro,1164.0,0.4,0,0.0
27,Cruachan,United Kingdom,Hydro,440.0,0.4,0,0.0
28,Koepchenwerk Bl,Germany,Hydro,162.0,0.4,0,0.0
29,Waldeck,Germany,Hydro,555.0,0.4,0,0.0
30,Illwerke Vkw Lunerseewerk,Austria,Hydro,280.0,0.4,0,0.0
31,Pumpspeicherwerk Ronkhausen Psw,Germany,Hydro,138.0,0.4,0,0.0
32,Taloro,Italy,Hydro,240.0,0.4,0,0.0
33,Aguayo,Spain,Hydro,360.0,0.4,0,0.0
34,Bolarque,Spain,Hydro,220.0,0.4,0,0.0
35,Guillena,Spain,Hydro,207.0,0.4,0,0.0
36,Serre Poncon,France,Hydro,384.0,0.4,0,0.0
37,Sarrans,France,Hydro,183.0,0.4,0,0.0
38,Gargnano,Italy,Hydro,137.0,0.4,0,0.0
39,Saint Guillerme,France,Hydro,116.0,0.4,0,0.0
40,Saint Esteve,France,Hydro,146.0,0.4,0,0.0
41,Saint Chamas,France,Hydro,159.0,0.4,0,0.0
42,Rhinau,France,Hydro,152.0,0.4,0,0.0
43,Pragneres,France,Hydro,189.0,0.4,0,0.0
44,Pied De Borne,France,Hydro,109.0,0.4,0,0.0
45,Ottmarsheim,France,Hydro,156.0,0.4,0,0.0
46,Gordola,Switzerland,Hydro,133.0,0.4,0,0.0
47,Bieudron,Switzerland,Hydro,1260.0,0.4,0,0.0
48,Sloy,United Kingdom,Hydro,153.0,0.4,0,0.0
49,Verbois,Switzerland,Hydro,103.0,0.4,0,0.0
50,Vietas,Sweden,Hydro,325.0,0.4,0,0.0
51,Trangslet,Sweden,Hydro,329.0,0.4,0,0.0
52,Stornorrfors,Sweden,Hydro,599.0,0.4,0,0.0
53,Genissiat,France,Hydro,420.0,0.4,0,0.0
54,Mareges,France,Hydro,146.0,0.4,0,0.0
55,Fessenheim,France,Hydro,175.0,0.4,0,0.0
56,Curbans,France,Hydro,139.0,0.4,0,0.0
57,Couesque,France,Hydro,119.0,0.4,0,0.0
58,Provvidenza,Italy,Hydro,139.0,0.4,0,0.0
59,Porsi,Sweden,Hydro,282.0,0.4,0,0.0
60,Ritsem,Sweden,Hydro,304.0,0.4,0,0.0
61,Porjus,Sweden,Hydro,417.0,0.4,0,0.0
62,Seitevare,Sweden,Hydro,214.0,0.4,0,0.0
63,Stalon,Sweden,Hydro,130.0,0.4,0,0.0
64,Handeck,Switzerland,Hydro,371.0,0.4,0,0.0
65,Grimsel,Switzerland,Hydro,388.0,0.4,0,0.0
66,Le Chatelard,Switzerland,Hydro,112.0,0.4,0,0.0
67,Zermeiggern,Switzerland,Hydro,74.0,0.4,0,0.0
68,Messaure,Sweden,Hydro,463.0,0.4,0,0.0
69,Ligga,Sweden,Hydro,342.0,0.4,0,0.0
70,Letsi,Sweden,Hydro,483.0,0.4,0,0.0
71,Cortes La Muela,Spain,Hydro,1517.0,0.4,0,0.0
72,Combe Avrieux,France,Hydro,123.0,0.4,0,0.0
73,Tanes,Spain,Hydro,123.0,0.4,0,0.0
74,Etzelwerk Altendorf,Switzerland,Hydro,135.0,0.4,0,0.0
75,Villarino,Spain,Hydro,810.0,0.4,0,0.0
76,Aldeadavila,Spain,Hydro,1243.0,0.4,0,0.0
77,Entracque Chro,Italy,Hydro,1189.0,0.4,0,0.0
78,Innertkirchen,Switzerland,Hydro,452.0,0.4,0,0.0
79,San Giacomo Sul Vomano,Italy,Hydro,490.0,0.4,0,0.0
80,Santa Massenza,Italy,Hydro,377.0,0.4,0,0.0
81,Rempen,Switzerland,Hydro,66.0,0.4,0,0.0
82,Chastang,France,Hydro,293.0,0.4,0,0.0
83,Harspranget,Sweden,Hydro,818.0,0.4,0,0.0
84,Bargi Italy,Italy,Hydro,281.0,0.4,0,0.0
85,Capriati,Italy,Hydro,113.0,0.4,0,0.0
86,Fadalto,Italy,Hydro,220.0,0.4,0,0.0
87,Moralets,Spain,Hydro,219.0,0.4,0,0.0
88,Zarnowiec,Poland,Hydro,780.0,0.4,0,0.0
89,Freudenau,Austria,Hydro,172.0,0.4,0,0.0
90,Oraison,France,Hydro,188.0,0.4,0,0.0
91,Monteynard,France,Hydro,366.0,0.4,0,0.0
92,Salamonde,Portugal,Hydro,220.0,0.4,0,0.0
93,Abwinden Asten,Austria,Hydro,168.0,0.4,0,0.0
94,Aschach,Austria,Hydro,287.0,0.4,0,0.0
95,Psw Markersbach Pss,Germany,Hydro,1045.1999999999998,0.4,0,0.0
96,Psw Hohenwarte Pss,Germany,Hydro,377.4,0.4,0,0.0
97,Marckolsheim,France,Hydro,156.0,0.4,0,0.0
98,Malgovert,France,Hydro,297.0,0.4,0,0.0
99,Logis Neuf,France,Hydro,215.0,0.4,0,0.0
100,Kembs,France,Hydro,162.0,0.4,0,0.0
101,Rosshag,Austria,Hydro,231.0,0.4,0,0.0
102,Bourg Les Valence,France,Hydro,180.0,0.4,0,0.0
103,Bort,France,Hydro,235.0,0.4,0,0.0
104,Bollene,France,Hydro,348.0,0.4,0,0.0
105,Beauchastel,France,Hydro,192.0,0.4,0,0.0
106,Avignon,France,Hydro,120.0,0.4,0,0.0
107,Aston,France,Hydro,104.0,0.4,0,0.0
108,Imatra,Finland,Hydro,192.0,0.4,0,0.0
109,Illwerke Vkw Vermuntwerk,Austria,Hydro,193.0,0.4,0,0.0
110,Wehr Ms,Germany,Hydro,910.0,0.4,0,0.0
111,Psw Wendefurth Pss,Germany,Hydro,79.8,0.4,0,0.0
112,Psw Geesthacht Pss,Germany,Hydro,119.1,0.4,0,0.0
113,Kaprun Limberg,Austria,Hydro,480.0,0.4,0,0.0
114,Sfikia,Greece,Hydro,315.0,0.4,0,0.0
115,Gerstheim,France,Hydro,141.0,0.4,0,0.0
116,Caderousse,France,Hydro,156.0,0.4,0,0.0
117,Brommat,France,Hydro,406.0,0.4,0,0.0
118,Malta Oberstufe,Austria,Hydro,120.0,0.4,0,0.0
119,Gallejuar,Sweden,Hydro,220.0,0.4,0,0.0
120,Bastusel,Sweden,Hydro,100.0,0.4,0,0.0
121,Vogelgrun,France,Hydro,141.0,0.4,0,0.0
122,Villarodin,France,Hydro,364.0,0.4,0,0.0
123,Strasbourg,France,Hydro,148.0,0.4,0,0.0
124,Saint Etienne Cantales,France,Hydro,103.0,0.4,0,0.0
125,Sisteron,France,Hydro,240.0,0.4,0,0.0
126,Ybbs Persenbeug,Austria,Hydro,237.0,0.4,0,0.0
127,Zydowo,Poland,Hydro,165.0,0.4,0,0.0
128,Cierny Vah,Slovakia,Hydro,734.0,0.4,0,0.0
129,Solina,Poland,Hydro,198.0,0.4,0,0.0
130,Avce,Slovenia,Hydro,180.0,0.4,0,0.0
131,Wallsee Mitterkirchen,Austria,Hydro,210.0,0.4,0,0.0
132,Ottensheim Wilhering,Austria,Hydro,179.0,0.4,0,0.0
133,Melk,Austria,Hydro,187.0,0.4,0,0.0
134,Mayrhofen,Austria,Hydro,355.0,0.4,0,0.0
135,Kaprun Schwarzach,Austria,Hydro,120.0,0.4,0,0.0
136,Greifenstein,Austria,Hydro,293.0,0.4,0,0.0
137,Gerlos,Austria,Hydro,200.0,0.4,0,0.0
138,Turlough Hill,Ireland,Hydro,292.0,0.4,0,0.0
139,Thissavros,Greece,Hydro,384.0,0.4,0,0.0
140,Hausling,Austria,Hydro,360.0,0.4,0,0.0
141,Malta Hauptstufe,Austria,Hydro,730.0,0.4,0,0.0
142,Reisseck,Austria,Hydro,498.0,0.4,0,0.0
143,Liptovska Mara,Slovakia,Hydro,198.0,0.4,0,0.0
144,Croix,Switzerland,Hydro,66.0,0.4,0,0.0
145,Chancy Pougny,Switzerland,Hydro,54.0,0.4,0,0.0
146,Tainionkoski,Finland,Hydro,62.0,0.4,0,0.0
147,Walgauwerk,Austria,Hydro,86.0,0.4,0,0.0
148,Schwabeck,Austria,Hydro,79.0,0.4,0,0.0
149,Rosegg St Jakob,Austria,Hydro,86.0,0.4,0,0.0
150,Kreuzeck,Austria,Hydro,45.0,0.4,0,0.0
151,Ferlach Maria Rain,Austria,Hydro,75.0,0.4,0,0.0
152,Feistritz Ludmannsdorf,Austria,Hydro,88.0,0.4,0,0.0
153,Gondo,Switzerland,Hydro,61.0,0.4,0,0.0
154,Eglisau,Switzerland,Hydro,47.0,0.4,0,0.0
155,Veytaux,Switzerland,Hydro,480.0,0.4,0,0.0
156,Estany Gento Sallente,Spain,Hydro,440.0,0.4,0,0.0
157,Saurdal,Norway,Hydro,640.0,0.4,0,0.0
158,Duge,Norway,Hydro,200.0,0.4,0,0.0
159,Aurland,Norway,Hydro,290.0,0.4,0,0.0
160,Zlatolicje,Slovenia,Hydro,116.0,0.4,0,0.0
161,Formin,Slovenia,Hydro,126.0,0.4,0,0.0
162,Gabcikovo,Slovakia,Hydro,720.0,0.4,0,0.0
163,Svartisen,Norway,Hydro,720.0,0.4,0,0.0
164,Straumsmo,Norway,Hydro,130.0,0.4,0,0.0
165,Skjomen,Norway,Hydro,300.0,0.4,0,0.0
166,Galleto,Italy,Hydro,295.0,0.4,0,0.0
167,Alta,Norway,Hydro,150.0,0.4,0,0.0
168,Beaucaire,France,Hydro,210.0,0.4,0,0.0
169,Ruzin,Slovakia,Hydro,60.0,0.4,0,0.0
170,Nant De Drance,Switzerland,Hydro,900.0,0.4,0,0.0
171,Bajina Basta,Serbia,Hydro,1034.0,0.4,0,0.0
172,Vilarinho Das Furnas,Portugal,Hydro,125.0,0.4,0,0.0
173,Aigle,France,Hydro,360.0,0.4,0,0.0
174,Annabrucke,Austria,Hydro,90.0,0.4,0,0.0
175,Altenworth,Austria,Hydro,328.0,0.4,0,0.0
176,Torrao,Portugal,Hydro,140.0,0.4,0,0.0
177,Alqueva,Portugal,Hydro,515.0,0.4,0,0.0
178,Aguieira,Portugal,Hydro,336.0,0.4,0,0.0
179,Kobbelv,Norway,Hydro,300.0,0.4,0,0.0
180,Langenprozelten,Germany,Hydro,164.0,0.4,0,0.0
181,Hausern Ms,Germany,Hydro,120.0,0.4,0,0.0
182,Psw Glems,Germany,Hydro,90.0,0.4,0,0.0
183,Psw Bleiloch Pss,Germany,Hydro,79.8,0.4,0,0.0
184,Kuhtai Maschine,Austria,Hydro,289.0,0.4,0,0.0
185,Albbruck Dogern Radag,Germany,Hydro,107.82,0.4,0,0.0
186,Toging Neu,Germany,Hydro,120.0,0.4,0,0.0
187,Laufenburg,Switzerland,Hydro,104.42,0.4,0,0.0
188,Schwabstadl Ro,Germany,Hydro,12.0,0.4,0,0.0
189,Tashlytsky,Ukraine,Hydro,453.0,0.4,0,0.0
190,Dnister,Ukraine,Hydro,1998.0,0.4,0,0.0
191,Salmisaari Phase,Finland,Hard Coal,177.0,0.5,820,635713.2
192,Amercoeur,Belgium,Natural Gas,451.0,0.45,370,657801.54
193,Aberthaw,United Kingdom,Hard Coal,1725.0,0.5,820,6195510.0
194,Ostroleka Phase,Poland,Hard Coal,681.1,0.5,820,2446238.76
195,Kozienice,Poland,Hard Coal,2919.0,0.5,820,10483880.4
196,Maasvlakte Uniper,Netherlands,Hard Coal,2306.0,0.5,820,8282229.6
197,Provence,France,Hard Coal,850.0,0.5,820,3052860.0
198,Emile Huchet,France,Hard Coal,125.0,0.5,820,448950.0
199,Meri Pori,Finland,Hard Coal,614.0,0.5,820,2205242.4
200,Hanasaari Phase,Finland,Hard Coal,228.0,0.5,820,818884.8
201,Fyns,Denmark,Hard Coal,597.0,0.5,820,2144185.2
202,Ratcliffe,United Kingdom,Hard Coal,2172.0,0.5,820,7800955.2
203,Didcot,United Kingdom,Natural Gas,1590.0,0.45,370,2319078.6
204,Cottam,United Kingdom,Hard Coal,2184.0,0.5,820,7844054.4
205,Soutelo,Spain,Hydro,215.0,0.4,0,0.0
206,Montamara,Spain,Hydro,88.0,0.4,0,0.0
207,Ip,Spain,Hydro,89.0,0.4,0,0.0
208,Gabriel Galan,Spain,Hydro,110.0,0.4,0,0.0
209,Conso,Spain,Hydro,270.0,0.4,0,0.0
210,Riva Del Garda,Italy,Hydro,117.0,0.4,0,0.0
211,Venaus,Italy,Hydro,230.0,0.4,0,0.0
212,Valpelline,Italy,Hydro,130.0,0.4,0,0.0
213,Soverzene,Italy,Hydro,214.0,0.4,0,0.0
214,Rosone Ceresole,Italy,Hydro,135.0,0.4,0,0.0
215,Naturno,Italy,Hydro,175.0,0.4,0,0.0
216,Kruonis,Lithuania,Hydro,900.0,0.4,0,0.0
217,Campocologno,Switzerland,Hydro,50.0,0.4,0,0.0
218,Stalden,Switzerland,Hydro,185.0,0.4,0,0.0
219,Villacampo,Spain,Hydro,218.0,0.4,0,0.0
220,Saucelle,Spain,Hydro,520.0,0.4,0,0.0
221,Salime,Spain,Hydro,160.0,0.4,0,0.0
222,Ricobayo,Spain,Hydro,329.0,0.4,0,0.0
223,Jose Maria Oriol,Spain,Hydro,957.0,0.4,0,0.0
224,Doiras,Spain,Hydro,62.0,0.4,0,0.0
225,Castro,Spain,Hydro,113.0,0.4,0,0.0
226,Edling,Austria,Hydro,87.0,0.4,0,0.0
227,Fionnay Mauvoisin,Switzerland,Hydro,140.0,0.4,0,0.0
228,Arbon,Spain,Hydro,56.0,0.4,0,0.0
229,Montorio,Italy,Hydro,110.0,0.4,0,0.0
230,Chaira,Bulgaria,Hydro,864.0,0.4,0,0.0
231,Belmeken,Bulgaria,Hydro,375.0,0.4,0,0.0
232,Feldsee,Austria,Hydro,140.0,0.4,0,0.0
233,Bathie,France,Hydro,600.0,0.4,0,0.0
234,Peccia,Switzerland,Hydro,54.0,0.4,0,0.0
235,Valdecanas,Spain,Hydro,249.0,0.4,0,0.0
236,Pont Ventoux,Italy,Hydro,150.0,0.4,0,0.0
237,Timpagrande,Italy,Hydro,214.0,0.4,0,0.0
238,Rannoch,United Kingdom,Hydro,44.0,0.4,0,0.0
239,Glendoe,United Kingdom,Hydro,100.0,0.4,0,0.0
240,Fasnakyle,United Kingdom,Hydro,74.0,0.4,0,0.0
241,Torrejon,Spain,Hydro,132.0,0.4,0,0.0
242,Tajo De La Encantada,Spain,Hydro,377.0,0.4,0,0.0
243,Grosio,Italy,Hydro,737.0,0.4,0,0.0
244,Mucone,Italy,Hydro,169.0,0.4,0,0.0
245,Cardano,Italy,Hydro,121.0,0.4,0,0.0
246,Avise,Italy,Hydro,127.0,0.4,0,0.0
247,La Saussaz,France,Hydro,150.0,0.4,0,0.0
248,Randens,France,Hydro,124.0,0.4,0,0.0
249,Passy,France,Hydro,104.0,0.4,0,0.0
250,Montpezat,France,Hydro,132.0,0.4,0,0.0
251,Saint Pierre Cognet,France,Hydro,101.0,0.4,0,0.0
252,Ossauskoski,Finland,Hydro,124.0,0.4,0,0.0
253,Isohaara,Finland,Hydro,128.0,0.4,0,0.0
254,Amsteg,Switzerland,Hydro,120.0,0.4,0,0.0
255,Polyphyto,Greece,Hydro,375.0,0.4,0,0.0
256,Klingenberg,Germany,Natural Gas,164.0,0.45,370,239200.56
257,Zolling,Germany,Hard Coal,472.0,0.5,820,1695235.2
258,Weissweiler,Germany,Lignite,1961.0,0.6,1050,10822366.8
259,Platanovryssi,Greece,Hydro,116.0,0.4,0,0.0
260,Plastiras,Greece,Hydro,130.0,0.4,0,0.0
261,Trianel Kohlekraftwerk Lunen,Germany,Hard Coal,746.0,0.5,820,2679333.6
262,Kremasta,Greece,Hydro,437.0,0.4,0,0.0
263,Waldshut Ms,Germany,Hydro,176.0,0.4,0,0.0
264,Weiher,Germany,Hard Coal,655.6,0.5,820,2354652.96
265,Altbach Deizisau,Germany,Hard Coal,756.0,0.5,820,2715249.6
266,Kastraki,Greece,Hydro,320.0,0.4,0,0.0
267,Wedel,Germany,Hard Coal,253.0,0.5,820,908674.8
268,Schwarze Pumpe,Germany,Lignite,1510.0,0.6,1050,8333388.0
269,Scholven,Germany,Hard Coal,760.0,0.5,820,2729616.0
270,Schkopau,Germany,Lignite,900.0,0.6,1050,4966920.0
271,Kwm,Germany,Hard Coal,690.0,0.5,820,2478204.0
272,Neurath,Germany,Lignite,4211.0,0.6,1050,23239666.8
273,Hojum,Sweden,Hydro,170.0,0.4,0,0.0
274,Bergkamen,Germany,Hard Coal,720.0,0.5,820,2585952.0
275,Holjes,Sweden,Hydro,128.0,0.4,0,0.0
276,Kilforsen,Sweden,Hydro,296.0,0.4,0,0.0
277,Krangede,Sweden,Hydro,248.0,0.4,0,0.0
278,Krokstrommen,Sweden,Hydro,103.0,0.4,0,0.0
279,Laxede,Sweden,Hydro,207.0,0.4,0,0.0
280,Midskog,Sweden,Hydro,143.0,0.4,0,0.0
281,Namforsen,Sweden,Hydro,112.0,0.4,0,0.0
282,Olden,Sweden,Hydro,112.0,0.4,0,0.0
283,Vargfors,Sweden,Hydro,120.0,0.4,0,0.0
284,Pournari,Greece,Hydro,300.0,0.4,0,0.0
285,Henri Poincare,France,Hydro,295.0,0.4,0,0.0
286,Niedzica,Poland,Hydro,92.0,0.4,0,0.0
287,Alto Rabagao,Portugal,Hydro,68.0,0.4,0,0.0
288,Venda Nova,Portugal,Hydro,1061.0,0.4,0,0.0
289,Forsmo,Sweden,Hydro,158.0,0.4,0,0.0
290,Bergeforsen,Sweden,Hydro,174.0,0.4,0,0.0
291,Akkats,Sweden,Hydro,157.0,0.4,0,0.0
292,Alto Lindoso,Portugal,Hydro,630.0,0.4,0,0.0
293,Ardnacrusha,Ireland,Hydro,85.0,0.4,0,0.0
294,Stratos,Greece,Hydro,150.0,0.4,0,0.0
295,Belley,France,Hydro,90.0,0.4,0,0.0
296,Witznau Ms,Germany,Hydro,220.0,0.4,0,0.0
297,Sackingen,Germany,Hydro,429.0,0.4,0,0.0
298,Swm Leitzach,Germany,Hydro,92.0,0.4,0,0.0
299,Meitingen,Germany,Hydro,12.6,0.4,0,0.0
300,Fierza,Albania,Hydro,500.0,0.4,0,0.0
301,Komani,Albania,Hydro,600.0,0.4,0,0.0
302,Vau Dejes,Albania,Hydro,250.0,0.4,0,0.0
303,Bregnier Cordon,France,Hydro,70.0,0.4,0,0.0
304,Chautagne,France,Hydro,90.0,0.4,0,0.0
305,Hospitalet,France,Hydro,93.0,0.4,0,0.0
306,Montahut,France,Hydro,95.0,0.4,0,0.0
307,Orlu,France,Hydro,89.0,0.4,0,0.0
308,Pierre Benite,France,Hydro,84.0,0.4,0,0.0
309,Seyssel,France,Hydro,41.0,0.4,0,0.0
310,Vaugris,France,Hydro,72.0,0.4,0,0.0
311,Pigae Aoos,Greece,Hydro,210.0,0.4,0,0.0
312,Niederaussem,Germany,Lignite,3109.0,0.6,1050,17157949.2
313,Lippendorf,Germany,Lignite,1782.0,0.6,1050,9834501.6
314,Rheinhafen Dampfkraftwerk,Germany,Hard Coal,1351.0,0.5,820,4852251.6
315,Janschwalde,Germany,Lignite,3000.0,0.6,1050,16556400.0
316,Heyden,Germany,Hard Coal,875.0,0.5,820,3142650.0
317,Herne,Germany,Hard Coal,435.0,0.5,820,1562346.0
318,Heilbronn,Germany,Hard Coal,1028.0,0.5,820,3692164.8
319,Kng Rostock,Germany,Hard Coal,514.0,0.5,820,1846082.4
320,Walsum,Germany,Hard Coal,1095.0,0.5,820,3932802.0
321,Ilarionas,Greece,Hydro,154.0,0.4,0,0.0
322,Bexbach,Germany,Hard Coal,726.0,0.5,820,2607501.6
323,Boxberg,Germany,Lignite,2470.0,0.6,1050,13631436.0
324,Assomata,Greece,Hydro,108.0,0.4,0,0.0
325,Datteln,Germany,Hard Coal,1052.0,0.5,820,3778363.2
326,Sau,Spain,Hydro,56.0,0.4,0,0.0
327,Valparaiso,Spain,Hydro,65.0,0.4,0,0.0
328,Finlarig Finl,United Kingdom,Hydro,16.5,0.4,0,0.0
329,Ilanz,Switzerland,Hydro,50.0,0.4,0,0.0
330,Gaur,United Kingdom,Hydro,7.0,0.4,0,0.0
331,Grudie Bridge Grub,United Kingdom,Hydro,24.0,0.4,0,0.0
332,Inverawe Inaw,United Kingdom,Hydro,25.0,0.4,0,0.0
333,Loch Gair Locg,United Kingdom,Hydro,6.0,0.4,0,0.0
334,Nant,United Kingdom,Hydro,15.0,0.4,0,0.0
335,Shin,United Kingdom,Hydro,24.0,0.4,0,0.0
336,Fieschertal,Switzerland,Hydro,64.0,0.4,0,0.0
337,Lavey,Switzerland,Hydro,93.0,0.4,0,0.0
338,Filisur,Switzerland,Hydro,65.0,0.4,0,0.0
339,Sron Mor Srom,United Kingdom,Hydro,5.0,0.4,0,0.0
340,Spalding,United Kingdom,Natural Gas,950.0,0.45,370,1385613.0
341,Sutton Bridge,United Kingdom,Natural Gas,819.0,0.45,370,1194544.26
342,Severn,United Kingdom,Natural Gas,850.0,0.45,370,1239759.0
343,Maxima,Netherlands,Natural Gas,880.0,0.45,370,1283515.2
344,Great Yarmouth,United Kingdom,Natural Gas,420.0,0.45,370,612586.8
345,Rya Goteborg,Sweden,Natural Gas,250.0,0.45,370,364635.0
346,Clachan Clac,United Kingdom,Hydro,40.0,0.4,0,0.0
347,Cassley Cass,United Kingdom,Hydro,10.0,0.4,0,0.0
348,Vernayaz,Switzerland,Hydro,107.0,0.4,0,0.0
349,Lucendro,Switzerland,Hydro,60.0,0.4,0,0.0
350,Tavascan Superior,Spain,Hydro,119.0,0.4,0,0.0
351,Rheidol,United Kingdom,Hydro,56.0,0.4,0,0.0
352,Susqueda,Spain,Hydro,89.0,0.4,0,0.0
353,Clunie,United Kingdom,Hydro,61.0,0.4,0,0.0
354,Vissoie,Switzerland,Hydro,50.0,0.4,0,0.0
355,Awirs,Belgium,Hard Coal,425.0,0.5,820,1526430.0
356,Pocerady Phase,Czechia,Lignite,1000.0,0.6,1050,5518800.0
357,Vresova Tps,Czechia,Lignite,400.0,0.6,1050,2207520.0
358,Hemweg,Netherlands,Hard Coal,685.0,0.5,820,2460246.0
359,Diemen,Netherlands,Natural Gas,684.0,0.45,370,997641.36
360,Eem,Netherlands,Natural Gas,1931.0,0.45,370,2816440.74
361,Magnum Eemshaven,Netherlands,Natural Gas,1410.0,0.45,370,2056541.4
362,Ritom Nuova,Switzerland,Hydro,120.0,0.4,0,0.0
363,Riddes,Switzerland,Hydro,258.0,0.4,0,0.0
364,Pradella,Switzerland,Hydro,300.0,0.4,0,0.0
365,Piottino,Switzerland,Hydro,73.0,0.4,0,0.0
366,Olivone,Switzerland,Hydro,102.0,0.4,0,0.0
367,Lochay,United Kingdom,Hydro,46.0,0.4,0,0.0
368,Merwedekanaal,Netherlands,Natural Gas,224.0,0.45,370,326712.96
369,Hieflau,Austria,Hydro,63.0,0.4,0,0.0
370,St Pantaleon,Austria,Hydro,52.0,0.4,0,0.0
371,Harjavalta,Finland,Hydro,72.0,0.4,0,0.0
372,Kolsi,Finland,Hydro,45.0,0.4,0,0.0
373,Melo,Finland,Hydro,70.0,0.4,0,0.0
374,Nuojua,Finland,Hydro,81.0,0.4,0,0.0
375,Pamilo,Finland,Hydro,94.0,0.4,0,0.0
376,Shoreham,United Kingdom,Natural Gas,420.0,0.45,370,612586.8
377,Las Ondinas Gr,Spain,Hydro,81.0,0.4,0,0.0
378,Los Peares,Spain,Hydro,181.0,0.4,0,0.0
379,Mediano,Spain,Hydro,67.0,0.4,0,0.0
380,Mequinenza,Spain,Hydro,322.0,0.4,0,0.0
381,Portodemouros,Spain,Hydro,76.0,0.4,0,0.0
382,Proaza,Spain,Hydro,50.0,0.4,0,0.0
383,Mese,Italy,Hydro,280.0,0.4,0,0.0
384,Mezzocorona,Italy,Hydro,63.0,0.4,0,0.0
385,Las Conchas,Spain,Hydro,49.0,0.4,0,0.0
386,Corby,United Kingdom,Natural Gas,407.0,0.45,370,593625.78
387,Raasakka,Finland,Hydro,60.0,0.4,0,0.0
388,Seitakorva,Finland,Hydro,144.0,0.4,0,0.0
389,Taivalkoski,Finland,Hydro,134.0,0.4,0,0.0
390,Utanen,Finland,Hydro,58.0,0.4,0,0.0
391,Valajaskosken,Finland,Hydro,101.0,0.4,0,0.0
392,Cimego,Italy,Hydro,335.0,0.4,0,0.0
393,Glanford Brigg,United Kingdom,Natural Gas,199.0,0.45,370,290249.46
394,Cijara,Spain,Hydro,156.0,0.4,0,0.0
395,Sloe,Netherlands,Natural Gas,870.0,0.45,370,1268929.8
396,Rijnmond,Netherlands,Natural Gas,810.0,0.45,370,1181417.4
397,Belesar,Spain,Hydro,225.0,0.4,0,0.0
398,Biescas,Spain,Hydro,61.0,0.4,0,0.0
399,Buendia,Spain,Hydro,54.0,0.4,0,0.0
400,Burguillo,Spain,Hydro,62.0,0.4,0,0.0
401,Canelles,Spain,Hydro,107.0,0.4,0,0.0
402,Cedillo,Spain,Hydro,500.0,0.4,0,0.0
403,Elsta,Netherlands,Natural Gas,460.0,0.45,370,670928.4
404,Guijo De Granadilla,Spain,Hydro,52.0,0.4,0,0.0
405,Iznajar,Spain,Hydro,77.0,0.4,0,0.0
406,La Remolina Gr,Spain,Hydro,85.0,0.4,0,0.0
407,Lanuza,Spain,Hydro,53.0,0.4,0,0.0
408,Rothenbrunnen,Switzerland,Hydro,135.0,0.4,0,0.0
409,Safien,Switzerland,Hydro,86.0,0.4,0,0.0
410,Sedrun,Switzerland,Hydro,150.0,0.4,0,0.0
411,Siebnen,Switzerland,Hydro,52.0,0.4,0,0.0
412,Seled Glorenza,Italy,Hydro,101.0,0.4,0,0.0
413,Tinizong,Switzerland,Hydro,70.0,0.4,0,0.0
414,Unteraa Lungerersee,Switzerland,Hydro,54.0,0.4,0,0.0
415,Puente Bibey,Spain,Hydro,315.0,0.4,0,0.0
416,Puerto Pena,Spain,Hydro,55.0,0.4,0,0.0
417,Riba Roja,Spain,Hydro,264.0,0.4,0,0.0
418,Salas,Spain,Hydro,53.0,0.4,0,0.0
419,San Agustin,Spain,Hydro,63.0,0.4,0,0.0
420,Santiago Jares,Spain,Hydro,53.0,0.4,0,0.0
421,Soazza,Switzerland,Hydro,83.0,0.4,0,0.0
